id filter_num1 kernel_size1 filter_num2 kernel_size2 hidden_layer1 hidden_layer2 learning_rate batch_size train_accuracy validation_accuracy time/s
1059 4 5 32 5 200 20 0.0002 64 85.99386596679688 83.2192153930664 903.5407168865204
106 12 3 64 5 200 40 0.005 512 84.99234008789062 82.06438446044922 2247.0091059207916
1060 4 3 48 5 120 20 0.0002 32 87.34798431396484 84.10832977294922 810.5023558139801
1061 12 3 80 3 160 20 0.0001 64 83.5104751586914 81.4307632446289 1586.1588244438171
1062 8 5 32 5 200 40 0.0005 16 96.82166290283203 86.203369140625 1550.0568635463715
1063 4 5 80 5 200 40 0.0001 256 74.7368392944336 73.77618408203125 1469.1705539226532
1064 8 3 32 3 160 40 0.0001 256 70.3576889038086 69.3714828491211 894.760903596878
1065 4 5 32 5 200 20 0.01 256 61.067962646484375 61.21614456176758 886.7545120716095
1066 8 3 64 3 200 20 0.005 512 97.58303833007812 86.76545715332031 1119.8861315250397
1067 16 5 80 5 120 40 0.0005 64 97.60858154296875 87.35820007324219 2598.7057526111603
1068 8 5 64 3 160 20 0.0001 512 55.52375793457031 55.0740966796875 1162.9718797206879
1069 4 5 48 3 160 20 0.001 16 97.736328125 85.93766021728516 1184.5379061698914
107 12 3 64 3 200 20 0.01 512 20.8380184173584 20.29637336730957 1422.4753839969635
1070 16 5 64 3 200 20 0.01 16 20.8380184173584 20.29637336730957 2171.9253537654877
1071 12 3 48 5 160 60 0.0001 512 69.53500366210938 68.26775360107422 1701.6473577022552
1072 12 3 64 5 160 40 0.0005 32 97.89473724365234 87.43995666503906 2160.741196155548
1073 4 5 32 3 120 40 0.0002 64 84.93612670898438 82.6571273803711 861.0661399364471
1074 16 3 64 5 120 20 0.0001 64 83.31118774414062 81.41032409667969 2263.880954504013
1075 8 3 32 3 200 60 0.002 32 96.7450180053711 85.73326110839844 1080.346099615097
1076 12 3 48 5 120 40 0.0005 512 83.46448516845703 81.65559387207031 1635.2087762355804
1077 16 5 32 5 160 60 0.005 32 20.8380184173584 20.29637336730957 1917.9494841098785
1078 8 5 64 3 160 20 0.0002 256 79.97444915771484 78.51814270019531 1177.7033240795135
1079 4 5 80 5 160 20 0.0005 256 88.85028076171875 85.06898498535156 1485.834203004837
108 16 5 32 3 120 60 0.0001 32 86.1369400024414 83.68932342529297 1388.5778965950012
1080 12 3 32 5 120 40 0.01 64 20.8380184173584 20.29637336730957 1493.2130146026611
1081 8 5 48 5 160 20 0.0005 128 92.53960418701172 86.27490997314453 1319.120168209076
1082 12 5 64 3 200 60 0.001 128 98.28819274902344 87.16402435302734 2220.850152492523
1083 8 3 80 3 200 40 0.001 256 94.55799102783203 87.15380096435547 1268.1985611915588
1084 12 5 80 3 160 40 0.001 64 98.98825073242188 86.82677459716797 1436.4229040145874
1085 4 3 80 5 160 40 0.0002 16 93.84261322021484 86.62238311767578 1751.4202415943146
1086 8 5 32 5 160 40 0.01 512 58.303524017333984 57.99693298339844 1024.0362555980682
1087 12 3 80 3 200 20 0.005 16 20.8380184173584 20.29637336730957 2243.5578513145447
1088 12 5 64 5 120 60 0.01 128 20.8380184173584 20.29637336730957 2088.686578989029
1089 4 3 80 3 160 20 0.0002 32 89.96934509277344 85.181396484375 1304.92542886734
109 16 3 64 5 200 60 0.0002 128 88.06847381591797 84.8850326538086 2303.042182445526
1090 4 5 48 5 160 60 0.0002 128 86.11650085449219 83.82218170166016 1093.4849429130554
1091 4 3 32 5 160 40 0.001 512 85.79458618164062 83.20899963378906 1057.731341123581
1092 8 3 48 3 200 60 0.0001 16 88.80940246582031 85.64128875732422 1377.9756648540497
1093 4 5 32 5 160 40 0.01 512 86.46397399902344 82.24834442138672 831.2288720607758
1094 16 3 48 5 160 20 0.0002 64 87.37352752685547 83.99591064453125 2018.9823160171509
1095 12 3 64 3 160 20 0.002 16 20.8380184173584 20.29637336730957 1680.681639432907
1096 8 3 80 3 160 60 0.001 256 94.05211639404297 87.34798431396484 1179.6068351268768
1097 8 5 48 5 200 60 0.002 512 95.0740966796875 86.90853118896484 1463.7111179828644
1098 8 5 32 5 120 40 0.01 16 20.8380184173584 20.29637336730957 1439.0582585334778
1099 8 5 80 5 200 20 0.002 64 93.4593734741211 85.19161987304688 1917.233247756958
11 8 5 32 3 160 60 0.0005 16 97.28666687011719 86.71435546875 1216.5419251918793
110 12 5 32 3 160 40 0.002 32 93.357177734375 84.90547180175781 1161.5191056728363
1100 12 3 64 3 120 40 0.001 128 96.43842315673828 88.21665954589844 1446.6869134902954
1101 8 3 64 3 200 40 0.01 64 20.8380184173584 20.29637336730957 1549.3157050609589
1102 4 3 80 3 120 60 0.001 256 91.95196533203125 85.77413940429688 1053.8816084861755
1103 16 3 64 3 120 40 0.001 16 98.35973358154297 86.50996398925781 1767.0866994857788
1104 16 3 32 3 200 60 0.0005 512 84.29739379882812 82.82064056396484 1158.7865688800812
1105 12 3 80 5 160 40 0.001 256 93.9345932006836 86.87787628173828 2795.1412987709045
1106 4 5 32 5 120 40 0.0002 64 86.49463653564453 83.92437744140625 956.7577006816864
1107 8 3 32 3 160 40 0.0002 128 83.46448516845703 81.9417495727539 913.6360845565796
1108 16 3 64 3 160 20 0.001 128 97.40419006347656 87.84874725341797 1526.52516579628
1109 4 5 64 5 160 60 0.0005 32 97.91006469726562 86.80633544921875 1905.378987789154
111 4 5 64 3 160 40 0.001 256 93.62799835205078 86.3566665649414 964.9708874225616
1110 4 5 48 3 200 60 0.001 512 88.7889633178711 84.92591094970703 914.2716379165649
1111 16 5 32 3 120 60 0.001 128 95.03321838378906 86.22380828857422 820.4600982666016
1112 8 3 64 5 160 40 0.0002 32 91.81400299072266 86.42820739746094 1876.4267587661743
1113 8 3 80 5 160 60 0.0001 256 77.1180419921875 75.70771789550781 1691.7610123157501
1114 12 3 80 5 120 20 0.0005 16 97.69034576416016 86.21359252929688 2572.0077369213104
1115 8 5 48 3 200 20 0.0002 32 91.42053985595703 86.06029510498047 1800.9740931987762
1116 12 3 64 3 160 40 0.005 64 57.8129768371582 57.087379455566406 1404.8618092536926
1117 12 3 64 3 200 20 0.0005 32 97.56259155273438 87.19468688964844 2526.386146068573
1118 12 5 32 5 160 40 0.0005 128 92.59580993652344 87.03116607666016 1425.2515785694122
1119 16 5 64 3 200 20 0.0005 256 89.4225845336914 84.84414672851562 1485.815104484558
112 16 5 64 5 200 20 0.005 256 20.8380184173584 20.29637336730957 4067.3685364723206
1120 8 3 80 3 160 60 0.001 512 89.7138442993164 85.41645050048828 1217.7621669769287
1121 4 3 48 5 200 20 0.0005 256 85.5544204711914 82.89218139648438 1012.0883114337921
1122 12 5 80 5 120 40 0.0002 128 87.58303833007812 84.77261352539062 3485.235440969467
1123 12 5 32 3 120 40 0.005 256 96.18804168701172 86.11139678955078 1060.1345582008362
1124 8 5 64 3 200 20 0.0002 128 84.2054214477539 81.54317474365234 1220.223181962967
1125 8 5 32 3 160 40 0.002 256 95.03832244873047 86.1318359375 895.1756880283356
1126 4 3 32 5 120 60 0.005 32 73.8323974609375 72.42718505859375 962.9739890098572
1127 4 3 48 3 160 40 0.002 16 94.72151184082031 84.69084930419922 1224.3952779769897
1128 16 3 32 3 120 40 0.005 64 76.3208999633789 75.01277160644531 1073.444567680359
1129 4 3 80 3 200 40 0.0005 32 97.664794921875 87.14358520507812 1359.9408402442932
113 16 5 64 5 120 60 0.01 128 20.8380184173584 20.29637336730957 2411.9452035427094
1130 16 5 80 3 120 20 0.005 128 20.8380184173584 20.29637336730957 1745.1266150474548
1131 8 3 80 3 200 20 0.0005 16 98.10424041748047 86.36688232421875 1692.3775255680084
1132 12 5 32 5 160 60 0.001 16 96.43331909179688 85.63106536865234 1806.4582512378693
1133 16 3 32 3 160 20 0.001 32 96.96473693847656 86.01941680908203 1196.7172176837921
1134 16 3 32 3 200 40 0.0001 64 83.49003601074219 81.83954620361328 1162.3330628871918
1135 4 5 32 3 120 40 0.0002 128 81.74246215820312 79.9693374633789 1115.2154853343964
1136 16 3 48 5 200 20 0.001 512 86.9289779663086 83.56668090820312 1940.5642671585083
1137 8 5 48 3 200 20 0.0001 256 68.46192932128906 67.98160552978516 1060.52503657341
1138 4 5 80 3 120 20 0.0005 64 94.54267120361328 86.47930908203125 1260.4820444583893
1139 8 5 48 5 160 40 0.0005 256 89.26417541503906 85.12007904052734 1296.1314656734467
114 16 3 32 5 200 40 0.005 32 20.8380184173584 20.29637336730957 1727.4640445709229
1140 8 3 48 3 160 60 0.005 128 94.96678924560547 84.48645782470703 1076.2114214897156
1141 4 5 32 5 200 60 0.01 512 20.8380184173584 20.29637336730957 860.256021976471
1142 12 3 64 3 200 40 0.0002 256 83.45938110351562 82.00305938720703 1393.3236379623413
1143 12 3 64 3 200 60 0.0001 32 87.26111602783203 84.40470123291016 1274.347725391388
1144 4 3 48 3 160 40 0.01 64 52.396522521972656 51.82421875 963.8722748756409
1145 12 3 32 5 120 40 0.0002 512 72.51915740966797 72.49871826171875 1375.7416687011719
1146 16 3 32 3 120 60 0.001 512 86.70413970947266 84.1185531616211 1714.2046756744385
1147 8 5 80 3 120 60 0.01 32 20.8380184173584 20.29637336730957 1543.315572977066
1148 16 3 80 3 200 20 0.002 512 91.58916473388672 85.37557983398438 1551.1740112304688
1149 16 5 32 3 160 40 0.001 512 89.70362854003906 85.66172790527344 1179.421770811081
115 12 3 32 5 160 60 0.0002 32 89.40725708007812 85.49821472167969 1391.6063249111176
1150 8 3 48 3 160 60 0.0005 64 92.97904968261719 86.37710571289062 1152.3220686912537
1151 12 3 32 5 160 20 0.001 64 97.61369323730469 87.49105834960938 1552.67152094841
1152 16 5 64 5 200 40 0.005 16 20.8380184173584 20.29637336730957 3035.3157205581665
1153 4 3 48 3 160 20 0.0002 64 84.07256317138672 81.972412109375 779.1986353397369
1154 16 3 32 3 160 60 0.0001 512 67.34797668457031 66.71435546875 1134.9566612243652
1155 12 3 64 3 120 20 0.001 128 95.31425476074219 86.9289779663086 2020.0769717693329
1156 12 3 48 5 120 60 0.0002 16 93.21410369873047 87.09249114990234 2202.1426310539246
1157 8 3 48 5 120 60 0.01 256 71.67092895507812 71.78334045410156 1337.9428415298462
1158 16 5 48 5 120 20 0.0002 256 77.39397430419922 75.90188598632812 1800.7652869224548
1159 16 5 80 3 160 60 0.0005 128 95.51864624023438 87.36842346191406 2415.698204755783
116 4 3 32 3 200 60 0.01 32 20.8380184173584 20.29637336730957 708.556482553482
1160 4 5 80 5 160 40 0.0001 256 74.33316040039062 73.77618408203125 1245.4922034740448
1161 8 3 48 3 160 20 0.002 32 95.02299499511719 84.1900863647461 850.6110694408417
1162 8 3 32 3 120 20 0.01 256 84.21052551269531 80.98109436035156 828.5464904308319
1163 4 3 48 3 120 60 0.005 256 97.26111602783203 85.84568786621094 863.9728720188141
1164 8 3 32 5 160 60 0.001 512 86.91875457763672 83.8323974609375 1130.696734905243
1165 12 5 48 3 160 20 0.0005 512 82.37608337402344 80.24527740478516 1278.1861703395844
1166 8 5 48 3 200 20 0.01 128 20.8380184173584 20.29637336730957 1127.6873438358307
1167 12 5 32 5 120 20 0.0002 16 92.9126205444336 86.40776824951172 1708.916781425476
1168 16 5 32 3 120 60 0.0002 64 88.467041015625 85.16095733642578 1280.055064201355
1169 16 5 64 5 200 20 0.01 32 20.8380184173584 20.29637336730957 2744.270816087723
117 8 5 80 5 120 20 0.001 128 97.53193664550781 86.88809204101562 1638.6957459449768
1170 12 5 48 3 200 60 0.005 256 94.93101501464844 85.38579559326172 1025.7626557350159
1171 16 3 48 3 160 60 0.001 64 99.08533477783203 87.38886260986328 1318.484132528305
1172 4 3 48 5 160 20 0.0001 128 71.37454986572266 70.68983459472656 1080.6498498916626
1173 12 5 32 5 160 40 0.005 16 20.8380184173584 20.29637336730957 1425.4806280136108
1174 4 3 32 3 200 20 0.0001 256 62.565147399902344 61.287681579589844 783.2616038322449
1175 16 5 32 5 200 40 0.0005 128 92.84619140625 86.42820739746094 1720.068187713623
1176 8 5 32 3 160 20 0.001 16 96.49463653564453 85.50843048095703 1165.3782896995544
1177 8 5 80 5 200 20 0.0002 512 74.27184295654297 73.18344116210938 2244.393269777298
1178 4 3 64 5 200 20 0.0002 256 76.94430541992188 75.32958221435547 1172.4994027614594
1179 12 3 32 5 200 20 0.0001 16 86.37200164794922 83.3214111328125 1774.3835244178772
118 12 5 32 5 160 40 0.002 64 96.53040313720703 86.31578826904297 1495.9951095581055
1180 16 5 64 3 120 20 0.002 256 95.86611938476562 86.03985595703125 1481.1001138687134
1181 12 3 48 5 120 40 0.01 32 20.8380184173584 20.29637336730957 1911.4315869808197
1182 12 5 32 3 120 60 0.0001 64 83.4236068725586 81.6351547241211 1102.707299232483
1183 12 3 48 3 200 20 0.0005 16 98.05314636230469 87.23556518554688 2035.0007104873657
1184 4 3 48 3 200 40 0.01 16 20.8380184173584 20.29637336730957 2430.553779602051
1185 12 3 32 3 200 40 0.002 128 97.8896255493164 87.3786392211914 1030.2083010673523
1186 8 3 48 3 120 60 0.01 64 20.8380184173584 20.29637336730957 1062.3343858718872
1187 4 3 48 5 120 40 0.002 16 91.7833480834961 84.5171127319336 949.7769312858582
1188 8 3 32 5 200 60 0.0001 512 66.96985626220703 66.43842315673828 1093.1619620323181
1189 4 5 80 5 200 60 0.0002 64 91.3438949584961 86.39754486083984 1233.422025680542
119 12 5 48 5 120 60 0.002 512 94.39958953857422 86.39754486083984 1712.5062727928162
1190 16 5 48 5 200 40 0.0001 16 91.21614837646484 86.47930908203125 2308.1622071266174
1191 4 3 64 5 120 40 0.01 128 56.43842697143555 56.65814971923828 1137.7322239875793
1192 8 3 48 3 160 20 0.005 512 92.0439453125 84.3433837890625 987.1214215755463
1193 12 5 48 5 160 20 0.01 64 20.8380184173584 20.29637336730957 1856.2042291164398
1194 16 5 48 5 200 20 0.0002 16 96.03474426269531 87.5114974975586 2218.036614894867
1195 12 3 80 3 160 60 0.005 32 20.8380184173584 20.29637336730957 3418.320338487625
1196 4 3 80 5 160 20 0.01 512 82.94839477539062 80.2554931640625 1340.7264683246613
1197 4 5 80 3 160 60 0.002 32 94.84414672851562 84.38426208496094 1219.188802242279
1198 16 3 64 5 160 60 0.0002 128 87.55237579345703 84.87480926513672 2039.0198044776917
1199 12 5 32 3 120 60 0.0001 128 78.92182159423828 77.46550750732422 841.9713113307953
12 16 5 32 5 160 20 0.01 64 20.8380184173584 20.29637336730957 1652.1787581443787
120 12 5 32 3 160 60 0.002 512 92.554931640625 86.08073425292969 1082.0529322624207
1200 16 3 32 3 160 20 0.002 256 93.90904235839844 86.66326141357422 1140.4877471923828
1201 16 5 64 5 120 60 0.005 512 20.8380184173584 20.29637336730957 2202.4207899570465
1202 12 3 64 5 200 20 0.01 16 20.8380184173584 20.29637336730957 3715.7199618816376
1203 4 5 80 5 120 20 0.0005 512 80.16351318359375 78.16044616699219 1202.9724678993225
1204 8 5 32 3 160 40 0.001 64 96.98517608642578 86.4895248413086 892.1939103603363
1205 4 5 80 5 200 60 0.002 64 94.6653060913086 84.1900863647461 1036.3053772449493
1206 8 3 64 5 200 40 0.001 256 94.2769546508789 87.02095031738281 1254.8450815677643
1207 4 3 80 5 160 20 0.002 512 92.50894165039062 85.96832275390625 1445.5431985855103
1208 4 3 32 5 160 60 0.001 128 93.6484375 86.15227508544922 890.4389052391052
1209 8 3 64 5 120 20 0.002 64 96.90342712402344 85.50843048095703 1245.9024448394775
121 16 3 32 3 200 60 0.0005 32 96.17782592773438 86.37710571289062 1291.7147779464722
1210 12 5 32 5 200 40 0.005 256 88.55902099609375 84.46601867675781 1149.5946235656738
1211 16 5 80 5 160 40 0.0001 64 86.9289779663086 83.76085662841797 2672.4439780712128
1212 16 3 32 5 160 40 0.0005 32 96.80122375488281 87.10271453857422 1705.8064534664154
1213 16 3 32 5 120 60 0.005 256 90.11241912841797 85.06898498535156 1563.3494324684143
1214 4 3 80 3 160 20 0.002 32 97.85896301269531 84.91568756103516 1400.4427335262299
1215 4 3 48 5 160 60 0.002 128 98.70209503173828 86.80633544921875 981.6950283050537
1216 4 3 64 5 160 20 0.005 512 93.40316772460938 84.86458587646484 1428.59095454216
1217 8 3 80 5 160 20 0.001 32 96.88298797607422 85.3960189819336 2000.1175816059113
1218 8 3 64 5 200 60 0.01 64 20.8380184173584 20.29637336730957 1580.6799483299255
1219 8 3 48 5 120 20 0.005 64 72.0439453125 71.7220230102539 1474.2509272098541
122 12 5 64 5 200 40 0.0002 64 91.4511947631836 86.29534912109375 1710.3568840026855
1220 4 5 80 3 160 20 0.0005 32 96.90853118896484 86.4895248413086 1307.7370364665985
1221 8 5 48 5 200 60 0.0005 512 85.7230453491211 83.18855285644531 1000.6845791339874
1222 12 5 32 3 160 40 0.002 64 96.66326141357422 85.75370025634766 1174.3998310565948
1223 12 5 32 5 160 20 0.0002 32 90.84823608398438 85.89677429199219 2711.0052359104156
1224 8 5 80 3 120 40 0.01 128 20.8380184173584 20.29637336730957 2362.154481649399
1225 4 5 48 5 160 20 0.0001 128 73.6791000366211 73.07102966308594 902.3680799007416
1226 8 3 80 5 200 60 0.0005 128 93.14256286621094 85.9478759765625 1976.421445608139
1227 16 3 32 3 160 60 0.0002 64 88.05314636230469 85.31425476074219 698.2857344150543
1228 16 3 64 5 120 20 0.005 16 20.8380184173584 20.29637336730957 2533.150644302368
1229 8 5 48 3 160 20 0.005 128 81.33367156982422 78.09912872314453 718.6878459453583
123 16 5 32 3 120 60 0.005 16 9.443025588989258 9.156872749328613 1090.6609461307526
1230 4 3 64 3 120 20 0.002 16 92.67245483398438 83.74041748046875 1318.5892174243927
1231 16 3 32 3 120 20 0.002 16 88.2115478515625 83.3520736694336 1492.4541273117065
1232 12 5 64 5 200 60 0.0002 512 79.54010772705078 77.9560546875 2297.026219844818
1233 16 5 64 3 160 20 0.002 256 97.45018005371094 87.16402435302734 2891.7945477962494
1234 4 5 64 5 200 60 0.001 64 98.17578125 86.65304565429688 894.767484664917
1235 12 5 64 5 120 60 0.002 32 81.95707702636719 79.83647918701172 2004.8150963783264
1236 12 5 80 5 160 20 0.002 32 70.59274291992188 69.4225845336914 2340.9531531333923
1237 12 5 64 5 120 20 0.0001 64 80.83290100097656 78.84517669677734 2314.8473048210144
1238 16 3 80 5 200 40 0.001 16 95.74859619140625 86.29534912109375 3088.504041671753
1239 8 3 80 5 120 20 0.0002 256 79.58099365234375 78.42616271972656 1628.7900755405426
124 4 3 32 5 200 60 0.001 32 98.00715637207031 86.90853118896484 1030.4188179969788
1240 16 5 80 3 200 40 0.0005 512 87.83853149414062 84.35359954833984 1801.6711602210999
1241 8 3 32 5 200 60 0.01 256 72.90239715576172 71.55850219726562 1147.7252209186554
1242 4 5 64 5 200 60 0.0002 16 94.89524841308594 86.65304565429688 1604.8753192424774
1243 4 3 80 3 200 40 0.0002 128 85.09453582763672 82.60603332519531 1257.4169325828552
1244 8 3 48 5 120 60 0.005 64 73.55135345458984 72.58048248291016 722.860288143158
1245 16 3 32 3 160 20 0.005 16 54.77260971069336 54.215633392333984 1198.730364561081
1246 8 3 48 5 200 40 0.005 16 20.8380184173584 20.29637336730957 1927.4356741905212
1247 16 3 32 5 120 60 0.0005 512 83.47981262207031 81.76801300048828 2595.267598628998
1248 16 5 64 3 120 60 0.002 64 93.00459289550781 82.80020141601562 1549.0805883407593
1249 8 5 48 3 120 40 0.005 512 94.96167755126953 84.92591094970703 1005.2923099994659
125 8 5 64 5 200 60 0.005 128 75.13030242919922 74.55288696289062 1473.6053881645203
1250 12 5 32 5 200 20 0.0002 64 86.73479461669922 83.56668090820312 1213.9447484016418
1251 16 5 64 3 120 60 0.0005 512 86.84721374511719 83.75064086914062 3168.480306625366
1252 12 5 64 5 120 60 0.001 16 93.7659683227539 84.83393096923828 2213.5274255275726
1253 4 5 32 5 120 60 0.0002 256 79.24884796142578 77.6698989868164 876.6155431270599
1254 12 3 80 5 160 20 0.0005 512 83.33163452148438 81.26724243164062 2306.3254578113556
1255 16 3 80 5 120 20 0.005 16 20.8380184173584 20.29637336730957 2178.409586429596
1256 16 3 32 3 160 60 0.005 32 61.64537811279297 60.63362503051758 2006.1626975536346
1257 4 3 32 5 200 40 0.005 512 93.7302017211914 85.181396484375 543.9422459602356
1258 8 5 64 3 120 20 0.01 256 20.8380184173584 20.29637336730957 1120.89164853096
1259 12 3 32 5 200 20 0.0001 256 69.8978042602539 69.27951049804688 1385.878740787506
126 4 3 64 3 200 60 0.01 16 20.8380184173584 20.29637336730957 1661.550539970398
1260 16 5 80 5 160 60 0.002 256 97.57281494140625 86.80633544921875 2605.4553215503693
1261 12 5 32 3 120 20 0.001 64 96.22891998291016 86.5610580444336 947.6377098560333
1262 4 3 48 5 120 60 0.001 512 87.13336944580078 84.27184295654297 1032.4794120788574
1263 4 3 64 3 160 40 0.005 512 96.40776824951172 86.14205169677734 1091.1278681755066
1264 12 5 64 5 200 60 0.0005 16 98.10424041748047 86.2340316772461 2533.968997001648
1265 8 5 80 3 160 40 0.001 512 90.04598999023438 85.2835922241211 1326.099086523056
1266 8 3 48 3 160 40 0.002 512 92.11548614501953 86.59172058105469 958.3280198574066
1267 8 3 32 5 120 40 0.01 128 64.10322570800781 64.06745147705078 733.0817966461182
