id,filter_num1,kernel_size1,filter_num2,kernel_size2,hidden_layer1,hidden_layer2,learning_rate,batch_size,train_accuracy,validation_accuracy
945,8,3,48,3,120,60,0.003,256,97.78231812,87.03116608
947,12,3,48,3,100,60,0.01,32,20.83801842,20.29637337
948,12,3,24,5,120,50,0.003,128,96.39755249,86.26469421
949,8,3,48,5,80,50,0.01,32,20.83801842,20.29637337
94,8,5,32,5,100,40,0.01,64,20.83801842,20.29637337
951,8,5,32,3,100,60,0.01,32,20.83801842,20.29637337
952,12,5,32,3,120,60,0.03,128,20.83801842,20.29637337
953,8,5,32,3,120,40,0.01,32,20.83801842,20.29637337
957,12,5,48,5,80,40,0.003,128,95.14052582,85.51865387
95,4,5,48,3,80,40,0.01,32,20.83801842,20.29637337
960,8,3,32,5,100,50,0.001,256,90.05109406,85.85590363
968,4,5,24,5,80,40,0.001,128,92.35564423,85.54931641
969,4,5,24,3,80,50,0.03,64,20.83801842,20.29637337
96,8,3,48,5,120,60,0.001,256,91.5176239,86.34645081
970,4,5,48,5,100,50,0.03,64,20.83801842,20.29637337
973,4,3,48,3,120,40,0.03,64,20.83801842,20.29637337
977,8,5,32,5,120,60,0.01,32,20.83801842,20.29637337
979,4,3,32,5,80,50,0.01,128,63.19877625,62.46295547
97,12,3,24,3,100,40,0.01,64,20.83801842,20.29637337
980,12,5,24,5,100,50,0.01,64,20.83801842,20.29637337
981,4,3,32,5,120,40,0.01,128,73.94992065,72.37608337
982,12,5,24,5,120,60,0.03,256,20.83801842,20.29637337
983,4,3,32,5,80,50,0.003,64,95.68727875,83.55645752
984,12,5,48,3,80,40,0.01,128,20.83801842,20.29637337
985,12,3,32,5,120,60,0.003,32,79.40725708,77.91517639
986,4,5,48,5,120,60,0.03,128,20.83801842,20.29637337
987,8,3,24,5,120,40,0.01,128,67.69544983,67.14359283
988,12,5,24,5,80,40,0.01,256,20.83801842,20.29637337
989,12,5,32,5,80,60,0.001,128,94.99233246,86.94941711
98,4,3,24,5,120,40,0.003,128,97.33776093,86.58150482
990,4,5,24,3,100,60,0.003,128,95.27848816,84.67041016
991,8,5,32,5,100,60,0.03,128,20.83801842,20.29637337
995,12,5,48,3,100,40,0.003,32,78.87071991,77.45529175
997,8,3,24,3,100,60,0.01,64,62.17679977,61.25702667
99,12,5,48,5,120,40,0.03,256,20.83801842,20.29637337
9,8,5,48,5,100,50,0.01,128,20.83801842,20.29637337
